Model;Name;Price
PRIMEB650M-R;Mainboard|ASUS|AMD B650|SAM5|Micro-ATX|Memory DDR5|Memory slots 2|1xPCI-Express 4.0 1x|2xPCI-Express 4.0 16x|2xM.2|1xHDMI|4xUSB 2.0|2xUSB 3.2|1xRJ45|3xAudio port|PRIMEB650M-R;105.89€
B550M PRO4;ASRock | B550M Pro4 | Processor family AMD | Processor socket AM4 | DDR4 DIMM | Memory slots 4 | Supported hard disk drive interfaces SATA3, M.2 | Number of SATA connectors 6 | Chipset AMD B550 | Micro ATX;106.29€
B550MDS3HAC1.5;Mainboard|GIGABYTE|AMD B550|SAM4|Micro-ATX|Memory DDR4|Memory slots 4|1xPCI-Express 3.0 1x|1xPCI-Express 3.0 4x|1xPCI-Express 4.0 16x|2xM.2|1xDVI-D|1xHDMI|1xDisplayPort|4xUSB 2.0|4xUSB 3.2|1xPS/2|1xRJ45|3xAudio port|B550MDS3HAC1.5;106.29€
B550 GAMING X V2;Gigabyte | B550 GAMING X V2 | Processor family AMD | Processor socket AM4 | DDR4 DIMM | Memory slots 4 | Chipset AMD B | ATX;106.49€
PRIMEB760M-KD4;Mainboard|ASUS|Intel B760 Express|LGA1700|Micro-ATX|Memory DDR4|Memory slots 2|2xPCI-Express 4.0 1x|1xPCI-Express 4.0 16x|2xM.2|1x15pin D-sub|1xHDMI|2xUSB 2.0|4xUSB 3.2|1xPS/2|1xRJ45|3xAudio port|PRIMEB760M-KD4;107.19€
B550M AORUS ELITE AX;Gigabyte B550M AORUS ELITE AXG13 | Processor family AMD | Processor socket AM4 | DDR4 | Number of SATA connectors 4;107.19€
PRIME H610M-K D4;PRIME H610M-K D4 s1700 2DDR4 D-Sub/HDMI M.2 mATX;107.59€
90MB1DS0-M1EAY0;ASUS PRIME B760M-K D4 LGA1700 microATX MB 2xDDR4 4xSATA 2xM.2 1xD-Sub 1xHDMI 2.0;107.59€
A520M-ITX/AC;ASRock A520M-ITX/AC | Processor family AMD | Processor socket AM4 | DDR4 | Supported hard disk drive interfaces SATA, M.2 | Number of SATA connectors 4;107.99€
90MB1GL0-M0ECY0;Asus | PRIME H610M-R-SI | Processor family Intel | Processor socket LGA1700 | DDR5 | Number of SATA connectors 4;107.99€
B760M GAMING DDR4;Gigabyte | B760M GAMING DDR4 1.0 M/B | Processor family Intel | Processor socket  LGA1700 | DDR4 DIMM | Memory slots 2 | Supported hard disk drive interfaces  SATA, M.2 | Number of SATA connectors 4 | Chipset Intel B760 Express | Micro ATX;108.29€
90MB17F0-M0EAY0;Asus | TUF GAMING A520M-PLUS | Processor family  AMD | Processor socket AM4 | DDR4 | Memory slots 4 | Supported hard disk drive interfaces SATA, M.2 | Number of SATA connectors 4 | Chipset  AMD A520 | Micro ATX;109.29€
B550M DS3H AC;Gigabyte | B550M DS3H AC 1.0/1.1/1.2/1.3/1.5 M/B | Processor family AMD | Processor socket AM4 | DDR4 DIMM | Memory slots 4 | Supported hard disk drive interfaces SATA, M.2 | Number of SATA connectors 4 | Chipset AMD B550 | Micro ATX;109.39€
PRO B760M-P;MSI | PRO B760M-P | Processor family Intel | Processor socket  LGA1700 | DDR5 DIMM | Memory slots 4 | Supported hard disk drive interfaces  SATA, M.2 | Number of SATA connectors 4 | Chipset Intel B760 | mATX;111.49€
90MB1C80-M0EAY0;Asus | PRIME H610M-A WIFI D4 | Processor family Intel | Processor socket  LGA1700 | DDR4 DIMM | Memory slots 2 | Supported hard disk drive interfaces  SATA, M.2 | Number of SATA connectors 4 | Chipset  Intel H610 | mATX;111.69€
A520I AC;Gigabyte | A520I AC | Processor family AMD | Processor socket AM4 | DDR4 DIMM | Memory slots 2 | Number of SATA connectors 4 | Chipset AMD A | Mini ITX;112.49€
90MB1G90-M0EAY0;ASUS PRIME H610M-K ARGB | Asus | Processor family Intel H610 | Processor socket LGA1700 Socket | 2 DIMM slots - DDR5, non-ECC, unbuffered | Supported hard disk drive interfaces SATA-600, 1 x M.2 | Number of SATA connectors 4;113.29€
MAG B550 TORPEDOSO;SALE OUT.  | MSI MAG B550 TORPEDO | Processor family AMD | Processor socket AM4 | DDR4 | Memory slots 4 | Chipset AMD B550 | ATX | REFURBISHED, MISSING M2 SCREWS;114.99€
